[2016-05-06 10:50:14,208][ForkJoinPool.commonPool-worker-1][Listening on port 4712]
[2016-05-06 10:50:50,272][ForkJoinPool.commonPool-worker-1][Listening on port 4712]
[2016-05-06 10:50:50,279][ForkJoinPool.commonPool-worker-1][Waiting to accept a new client.]
[2016-05-10 17:37:29,178][main][Listening on port 4712]
[2016-05-10 17:37:29,180][main][Waiting to accept a new client.]
[2016-05-10 17:37:41,872][main][Connected to client at /127.0.0.1]
[2016-05-10 17:37:41,872][main][Starting new socket node.]
[2016-05-10 17:37:41,875][main][Waiting to accept a new client.]
[2016-05-10 17:38:48,110][main][Listening on port 4712]
[2016-05-10 17:38:48,112][main][Waiting to accept a new client.]
[2016-05-10 17:38:52,210][main][Connected to client at /127.0.0.1]
[2016-05-10 17:38:52,210][main][Starting new socket node.]
[2016-05-10 17:38:52,214][main][Waiting to accept a new client.]
